Item,Condition,Condition code,Scenario
86,3,FB-C,"Moira took off the horse’s bridle and hung it on the door.  While Moira was away at the paddock, the farmer moved the bridle to the stool. When Moira wanted to clean the bridle she looked on the door."
86,4,FB-IC,"Moira took off the horse’s bridle and hung it on the door.  While Moira was away at the paddock, the farmer moved the bridle to the stool. When Moira wanted to clean the bridle she looked on the stool."
87,1,TB-C,"Marc finished the gardening and put the spade away in the garage.  Later, Marc noticed Felicity move the spade to the shed. When Marc wanted to use the spade he looked in the shed."
87,2,TB-IC,"Marc finished the gardening and put the spade away in the garage.  Later, Marc noticed Felicity move the spade to the shed. When Marc wanted to use the spade he looked in the garage."
87,3,FB-C,"Marc finished the gardening and put the spade away in the garage.  While Marc was showering, Felicity moved the spade to the shed. When Marc wanted to use the spade he looked in the garage."
87,4,FB-IC,"Marc finished the gardening and put the spade away in the garage.  While Marc was showering, Felicity moved the spade to the shed. When Marc wanted to use the spade he looked in the shed."
88,1,TB-C,"The train driver took off his hat and put it on the seat.  Later, the train watched Timmy playfully move the hat to the floor. When the train driver wanted to wear his hat he looked on the floor."
88,2,TB-IC,"The train driver took off his hat and put it on the seat.  Later, the train watched Timmy playfully move the hat to the floor. When the train driver wanted to wear his hat he looked on the seat."
88,3,FB-C,"The train driver took off his hat and put it on the seat.  While the train driver was busy, Timmy playfully moved the hat to the floor. When the train driver wanted to wear his hat he looked on the seat."
88,4,FB-IC,"The train driver took off his hat and put it on the seat.  While the train driver was busy, Timmy playfully moved the hat to the floor. When the train driver wanted to wear his hat he looked on the floor."
89,1,TB-C,"Colleen packed her make up bag and put it on her dresser.  Later, Colleen spotted Wayne move the make up bag to the windowsill. When Colleen wanted to use her make up bag she looked on the windowsill."
89,2,TB-IC,"Colleen packed her make up bag and put it on her dresser.  Later, Colleen spotted Wayne move the make up bag to the windowsill. When Colleen wanted to use her make up bag she looked on the dresser."
89,3,FB-C,"Colleen packed her make up bag and put it on her dresser.  While Colleen was out shopping, Wayne moved the make up bag to the windowsill. When Colleen wanted to use her make up bag she looked on the dresser."
89,4,FB-IC,"Colleen packed her make up bag and put it on her dresser.  While Colleen was out shopping, Wayne moved the make up bag to the windowsill. When Colleen wanted to use her make up bag she looked on the windowsill."
90,1,TB-C,"David took off his sweaty t-shirt and put it in the washing basket.  Later, David saw Victoria move the t-shirt to the bin. When David wanted to wear the t-shirt he looked in the bin."
90,2,TB-IC,"David took off his sweaty t-shirt and put it in the washing basket.  Later, David saw Victoria move the t-shirt to the bin. When David wanted to wear the t-shirt he looked in the basket."
90,3,FB-C,"David took off his sweaty t-shirt and put it in the washing basket.  While David was out playing football, Victoria moved the t-shirt to the bin. When David wanted to wear the t-shirt he looked in the basket."
90,4,FB-IC,"David took off his sweaty t-shirt and put it in the washing basket.  While David was out playing football, Victoria moved the t-shirt to the bin. When David wanted to wear the t-shirt he looked in the bin."
91,1,TB-C,"Kelly collected her new film script and put it on the armchair.  Later, Kelly observed Billy move the script to the mantelpiece. When Kelly wanted to read the script she looked on the mantelpiece."
91,2,TB-IC,"Kelly collected her new film script and put it on the armchair.  Later, Kelly observed Billy move the script to the mantelpiece. When Kelly wanted to read the script she looked on the armchair."
91,3,FB-C,"Kelly collected her new film script and put it on the armchair.  While Kelly was unaware, Billy moved the script to the mantelpiece. When Kelly wanted to read the script she looked on the armchair."
91,4,FB-IC,"Kelly collected her new film script and put it on the armchair.  While Kelly was unaware, Billy moved the script to the mantelpiece. When Kelly wanted to read the script she looked on the mantelpiece."
92,1,TB-C,"Chantelle finished using her straighteners and put them on the carpet.  Later, Chantelle spied Preston move the straighteners to the table. When Chantelle wanted to use the straighteners she looked on the table."
92,2,TB-IC,"Chantelle finished using her straighteners and put them on the carpet.  Later, Chantelle spied Preston move the straighteners to the table. When Chantelle wanted to use the straighteners she looked on the carpet."
92,3,FB-C,"Chantelle finished using her straighteners and put them on the carpet.  While Chantelle was out the house, Preston moved the straighteners to the table. When Chantelle wanted to use the straighteners she looked on the carpet."
92,4,FB-IC,"Chantelle finished using her straighteners and put them on the carpet.  While Chantelle was out the house, Preston moved the straighteners to the table. When Chantelle wanted to use the straighteners she looked on the table."
93,1,TB-C,"Brad fed the baby and put the bib down in the bedroom.  Later, Brad noticed Angelina move the bib to the kitchen. When Brad wanted to use the bib he looked in the kitchen."
93,2,TB-IC,"Brad fed the baby and put the bib down in the bedroom.  Later, Brad noticed Angelina move the bib to the kitchen. When Brad wanted to use the bib he looked in the bedroom."
93,3,FB-C,"Brad fed the baby and put the bib down in the bedroom.  While Brad was out for a run, Angelina moved the bib to the kitchen. When Brad wanted to use the bib he looked in the bedroom."
93,4,FB-IC,"Brad fed the baby and put the bib down in the bedroom.  While Brad was out for a run, Angelina moved the bib to the kitchen. When Brad wanted to use the bib he looked in the kitchen."
94,1,TB-C,"Katie took a photo of the scenery and put the camera into her bag.  Later, Katie witnessed Tom move the camera to the jacket. When Katie wanted to use the camera she looked in the jacket."
94,2,TB-IC,"Katie took a photo of the scenery and put the camera into her bag.  Later, Katie witnessed Tom move the camera to the jacket. When Katie wanted to use the camera she looked in the bag."
94,3,FB-C,"Katie took a photo of the scenery and put the camera into her bag.  While Katie was at the toilet, Tom moved the camera to the jacket. When Katie wanted to use the camera she looked in the bag."
94,4,FB-IC,"Katie took a photo of the scenery and put the camera into her bag.  While Katie was at the toilet, Tom moved the camera to the jacket. When Katie wanted to use the camera she looked in the jacket."
95,1,TB-C,"Nick took a sip from his champagne and put it on the ledge.  Later, Nick watched Jessica move the champagne to the tray. When Nick wanted to drink more champagne he looked on the tray."
95,2,TB-IC,"Nick took a sip from his champagne and put it on the ledge.  Later, Nick watched Jessica move the champagne to the tray. When Nick wanted to drink more champagne he looked on the ledge."
95,3,FB-C,"Nick took a sip from his champagne and put it on the ledge.  While Nick was away chatting, Jessica moved the champagne to the tray. When Nick wanted to drink more champagne he looked on the ledge."
95,4,FB-IC,"Nick took a sip from his champagne and put it on the ledge.  While Nick was away chatting, Jessica moved the champagne to the tray. When Nick wanted to drink more champagne he looked on the tray."
96,1,TB-C,"Kate took her baby out of the pram and put the pram in the garage.  Later, Kate saw Tom move the pram to the storeroom. When Kate wanted to clean the pram she looked in the storeroom."
96,2,TB-IC,"Kate took her baby out of the pram and put the pram in the garage.  Later, Kate saw Tom move the pram to the storeroom. When Kate wanted to clean the pram she looked in the garage."
96,3,FB-C,"Kate took her baby out of the pram and put the pram in the garage.  While Kate was busy, Tom moved the pram to the storeroom. When Kate wanted to clean the pram she looked in the garage."
96,4,FB-IC,"Kate took her baby out of the pram and put the pram in the garage.  While Kate was busy, Tom moved the pram to the storeroom. When Kate wanted to clean the pram she looked in the storeroom."
97,1,TB-C,"Mark bought a bottle of wine after work and put it in the kitchen.  Later, Mark observed Jane move the bottle of wine to the cellar. When Mark wanted to drink the bottle of wine he looked in the cellar."
97,2,TB-IC,"Mark bought a bottle of wine after work and put it in the kitchen.  Later, Mark observed Jane move the bottle of wine to the cellar. When Mark wanted to drink the bottle of wine he looked in the kitchen."
97,3,FB-C,"Mark bought a bottle of wine after work and put it in the kitchen.  While Mark was out the house, Jane moved the bottle of wine to the cellar. When Mark wanted to drink the bottle of wine he looked in the kitchen."
97,4,FB-IC,"Mark bought a bottle of wine after work and put it in the kitchen.  While Mark was out the house, Jane moved the bottle of wine to the cellar. When Mark wanted to drink the bottle of wine he looked in the cellar."
98,1,TB-C,"Spencer took off his woolly jumper and threw it on the floor.  Later, Spencer spied his wife move the jumper to the armchair. When Spencer wanted to wear his jumper he looked on the armchair."
98,2,TB-IC,"Spencer took off his woolly jumper and threw it on the floor.  Later, Spencer spied his wife move the jumper to the armchair. When Spencer wanted to wear his jumper he looked on the floor."
98,3,FB-C,"Spencer took off his woolly jumper and threw it on the floor.  While Spencer was in the shower, his wife moved the jumper to the armchair. When Spencer wanted to wear his jumper he looked on the floor."
98,4,FB-IC,"Spencer took off his woolly jumper and threw it on the floor.  While Spencer was in the shower, his wife moved the jumper to the armchair. When Spencer wanted to wear his jumper he looked on the armchair."
99,1,TB-C,"Freya took off the new ballet shoes and put them back in the box.  Later, Freya noticed her Mum move the ballet shoes to the kitbag. When Freya wanted to wear her ballet shoes she looked in the kitbag."
99,2,TB-IC,"Freya took off the new ballet shoes and put them back in the box.  Later, Freya noticed her Mum move the ballet shoes to the kitbag. When Freya wanted to wear her ballet shoes she looked in the box."
99,3,FB-C,"Freya took off the new ballet shoes and put them back in the box.  While Freya was playing outside, her Mum moved the ballet shoes to the kitbag. When Freya wanted to wear her ballet shoes she looked in the box."
99,4,FB-IC,"Freya took off the new ballet shoes and put them back in the box.  While Freya was playing outside, her Mum moved the ballet shoes to the kitbag. When Freya wanted to wear her ballet shoes she looked in the kitbag."
100,1,TB-C,"Judith finished the portrait and left it to dry in the study.  Later, Judith witnessed Alan move the portrait to the lounge. When Judith wanted to admire the portrait she looked in the lounge."
100,2,TB-IC,"Judith finished the portrait and left it to dry in the study.  Later, Judith witnessed Alan move the portrait to the lounge. When Judith wanted to admire the portrait she looked in the study."
100,3,FB-C,"Judith finished the portrait and left it to dry in the study.  While Judith was out for a walk, Alan moved the portrait to the lounge. When Judith wanted to admire the portrait she looked in the study."
100,4,FB-IC,"Judith finished the portrait and left it to dry in the study.  While Judith was out for a walk, Alan moved the portrait to the lounge. When Judith wanted to admire the portrait she looked in the lounge."
101,1,TB-C,"Monika performed her guitar solo then put the guitar in the corridor.  Later, Monika watched Roy move the guitar to the storeroom. When Monika wanted to play her guitar she looked in the storeroom."
101,2,TB-IC,"Monika performed her guitar solo then put the guitar in the corridor.  Later, Monika watched Roy move the guitar to the storeroom. When Monika wanted to play her guitar she looked in the corridor."
101,3,FB-C,"Monika performed her guitar solo then put the guitar in the corridor.  While Monika was at the toilet, Roy moved the guitar to the storeroom. When Monika wanted to play her guitar she looked in the corridor."
101,4,FB-IC,"Monika performed her guitar solo then put the guitar in the corridor.  While Monika was at the toilet, Roy moved the guitar to the storeroom. When Monika wanted to play her guitar she looked in the storeroom."
102,1,TB-C,"Dick turned off his laptop and put it in the drawer.  Later, Dick spotted his secretary move the laptop to the briefcase. When Dick wanted to use his laptop he looked in the briefcase."
102,2,TB-IC,"Dick turned off his laptop and put it in the drawer.  Later, Dick spotted his secretary move the laptop to the briefcase. When Dick wanted to use his laptop he looked in the drawer."
102,3,FB-C,"Dick turned off his laptop and put it in the drawer.  While Dick was pre-occupied, his secretary moved the laptop to the briefcase. When Dick wanted to use his laptop he looked in the drawer."
102,4,FB-IC,"Dick turned off his laptop and put it in the drawer.  While Dick was pre-occupied, his secretary moved the laptop to the briefcase. When Dick wanted to use his laptop he looked in the briefcase."
103,1,TB-C,"Dave wrote his postcards and put them in a pile on the table.  Later, Dave saw Lizzy move the postcards to the fireplace. When Dave wanted to post his postcards he looked on the fireplace."
103,2,TB-IC,"Dave wrote his postcards and put them in a pile on the table.  Later, Dave saw Lizzy move the postcards to the fireplace. When Dave wanted to post his postcards he looked on the table."
103,3,FB-C,"Dave wrote his postcards and put them in a pile on the table.  While Dave was bus outside, Lizzy moved the postcards to the fireplace. When Dave wanted to post his postcards he looked on the table."
103,4,FB-IC,"Dave wrote his postcards and put them in a pile on the table.  While Dave was bus outside, Lizzy moved the postcards to the fireplace. When Dave wanted to post his postcards he looked on the fireplace."
104,1,TB-C,"Catriona took out her hair bobble and put it on the windowsill.  Later, Catriona observed Mike move the hair bobble to the sideboard. When Catriona wanted to wear her hair bobble she looked on the sideboard."
104,2,TB-IC,"Catriona took out her hair bobble and put it on the windowsill.  Later, Catriona observed Mike move the hair bobble to the sideboard. When Catriona wanted to wear her hair bobble she looked on the windowsill."
104,3,FB-C,"Catriona took out her hair bobble and put it on the windowsill.  While Catriona was distracted, Mike moved the hair bobble to the sideboard. When Catriona wanted to wear her hair bobble she looked on the windowsill."
104,4,FB-IC,"Catriona took out her hair bobble and put it on the windowsill.  While Catriona was distracted, Mike moved the hair bobble to the sideboard. When Catriona wanted to wear her hair bobble she looked on the sideboard."
105,1,TB-C,"The lecturer saved his lecture slides onto the disk and put it in his rucksack.  Later, the lecturer spied the disk slip out to the street. When the lecturer wanted to check his disk he looked in the rucksack."
105,2,TB-IC,"The lecturer saved his lecture slides onto the disk and put it in his rucksack.  Later, the lecturer spied the disk slip out to the street. When the lecturer wanted to check his disk he looked in the street."
105,3,FB-C,"The lecturer saved his lecture slides onto the disk and put it in his rucksack.  But, while the lecturer was walking, the disk slipped out unnoticed to the street. When the lecturer wanted to check his disk he looked in the street."
105,4,FB-IC,"The lecturer saved his lecture slides onto the disk and put it in his rucksack.  But, while the lecturer was walking, the disk slipped out unnoticed to the street. When the lecturer wanted to check his disk he looked in the rucksack."
106,1,TB-C,"The midwife folded the clean towels and put them on the radiator.  Later, the midwife noticed her colleague move the towels to the shelf. When the midwife wanted to use the towels she looked on the shelf."
106,2,TB-IC,"The midwife folded the clean towels and put them on the radiator.  Later, the midwife noticed her colleague move the towels to the shelf. When the midwife wanted to use the towels she looked on the radiator."
106,3,FB-C,"The midwife folded the clean towels and put them on the radiator.  While the midwife was on a break, her colleague moved the towels to the shelf. When the midwife wanted to use the towels she looked on the radiator."
106,4,FB-IC,"The midwife folded the clean towels and put them on the radiator.  While the midwife was on a break, her colleague moved the towels to the shelf. When the midwife wanted to use the towels she looked on the shelf."
107,1,TB-C,"The physiotherapist rolled up the bandages and put them in the cupboard.  Later, the physiotherapist witnessed the trainee move the bandages to the drawer. When the physiotherapist wanted to use the bandages she looked in the drawer."
107,2,TB-IC,"The physiotherapist rolled up the bandages and put them in the cupboard.  Later, the physiotherapist witnessed the trainee move the bandages to the drawer. When the physiotherapist wanted to use the bandages she looked in the cupboard."
107,3,FB-C,"The physiotherapist rolled up the bandages and put them in the cupboard.  While the physiotherapist was not looking, the trainee moved the bandages to the drawer. When the physiotherapist wanted to use the bandages she looked in the cupboard."
107,4,FB-IC,"The physiotherapist rolled up the bandages and put them in the cupboard.  While the physiotherapist was not looking, the trainee moved the bandages to the drawer. When the physiotherapist wanted to use the bandages she looked in the drawer."
108,1,TB-C,"The bridesmaid applied her mascara and put it in the drawer.  Later, the bridesmaid watched her cousin move the mascara to the handbag. When the bridesmaid wanted to use the mascara she looked in the handbag."
108,2,TB-IC,"The bridesmaid applied her mascara and put it in the drawer.  Later, the bridesmaid watched her cousin move the mascara to the handbag. When the bridesmaid wanted to use the mascara she looked in the drawer."
108,3,FB-C,"The bridesmaid applied her mascara and put it in the drawer.  While the bridesmaid was distracted, her cousin moved the mascara to the handbag. When the bridesmaid wanted to use the mascara she looked in the drawer."
108,4,FB-IC,"The bridesmaid applied her mascara and put it in the drawer.  While the bridesmaid was distracted, her cousin moved the mascara to the handbag. When the bridesmaid wanted to use the mascara she looked in the handbag."
109,1,TB-C,"The builder took off his helmet and put it on the ground.  Later, the builder spotted his boss move the helmet to the desk. When the builder wanted to wear his helmet he looked on the desk."
109,2,TB-IC,"The builder took off his helmet and put it on the ground.  Later, the builder spotted his boss move the helmet to the desk. When the builder wanted to wear his helmet he looked on the ground."
109,3,FB-C,"The builder took off his helmet and put it on the ground.  While the builder was away for lunch, his boss moved the helmet to the desk. When the builder wanted to wear his helmet he looked on the ground."
109,4,FB-IC,"The builder took off his helmet and put it on the ground.  While the builder was away for lunch, his boss moved the helmet to the desk. When the builder wanted to wear his helmet he looked on the desk."
110,1,TB-C,"The electrician took a break from his work and put the wrench in the sink.  Later, the electrician saw Martha move the wrench to the bag. When the electrician wanted to use the wrench he looked in the bag."
110,2,TB-IC,"The electrician took a break from his work and put the wrench in the sink.  Later, the electrician saw Martha move the wrench to the bag. When the electrician wanted to use the wrench he looked in the sink."
110,3,FB-C,"The electrician took a break from his work and put the wrench in the sink.  While the electrician was away for a coffee, Martha moved the wrench to the bag. When the electrician wanted to use the wrench he looked in the sink."
110,4,FB-IC,"The electrician took a break from his work and put the wrench in the sink.  While the electrician was away for a coffee, Martha moved the wrench to the bag. When the electrician wanted to use the wrench he looked in the bag."
111,1,TB-C,"The athlete took off his sports watch and put it on the bench.  Later, the athlete observed his coach move the sports watch to the shelf. When the athlete wanted to wear  his sports watch he looked on the shelf."
111,2,TB-IC,"The athlete took off his sports watch and put it on the bench.  Later, the athlete observed his coach move the sports watch to the shelf. When the athlete wanted to wear  his sports watch he looked on the bench."
111,3,FB-C,"The athlete took off his sports watch and put it on the bench.  While the athlete was showering, his coach moved the sports watch to the shelf. When the athlete wanted to wear  his sports watch he looked on the bench."
111,4,FB-IC,"The athlete took off his sports watch and put it on the bench.  While the athlete was showering, his coach moved the sports watch to the shelf. When the athlete wanted to wear  his sports watch he looked on the shelf."
112,1,TB-C,"The businessman took off his uncomfortable tie and put it in the drawer.  Later, the businessman spied Paula move the tie to the closet. When the businessman wanted to wear  the tie again he looked in the closet."
112,2,TB-IC,"The businessman took off his uncomfortable tie and put it in the drawer.  Later, the businessman spied Paula move the tie to the closet. When the businessman wanted to wear  the tie again he looked in the drawer."
112,3,FB-C,"The businessman took off his uncomfortable tie and put it in the drawer.  While the businessman was out of the office, Paula moved the tie to the closet. When the businessman wanted to wear  the tie again he looked in the drawer."
112,4,FB-IC,"The businessman took off his uncomfortable tie and put it in the drawer.  While the businessman was out of the office, Paula moved the tie to the closet. When the businessman wanted to wear  the tie again he looked in the closet."
113,1,TB-C,"Elaine scribbled down her lecture notes and put them on the floor.  Later, Elaine noticed Dominic move the lecture notes to the desk. When Elaine wanted to revise her lecture notes she looked on the desk."
113,2,TB-IC,"Elaine scribbled down her lecture notes and put them on the floor.  Later, Elaine noticed Dominic move the lecture notes to the desk. When Elaine wanted to revise her lecture notes she looked on the floor."
113,3,FB-C,"Elaine scribbled down her lecture notes and put them on the floor.  While Elaine was away chatting with friends, Dominic moved the lecture notes to the desk. When Elaine wanted to revise her lecture notes she looked on the floor."
113,4,FB-IC,"Elaine scribbled down her lecture notes and put them on the floor.  While Elaine was away chatting with friends, Dominic moved the lecture notes to the desk. When Elaine wanted to revise her lecture notes she looked on the desk."
114,1,TB-C,"The policeman took off his hat and left it in the cell.  Later, the policeman watched his co-worker move the hat to the office. When the policeman wanted to wear his hat he looked in the office."
114,2,TB-IC,"The policeman took off his hat and left it in the cell.  Later, the policeman watched his co-worker move the hat to the office. When the policeman wanted to wear his hat he looked in the cell."
114,3,FB-C,"The policeman took off his hat and left it in the cell.  While the policeman was out for coffee, his co-worker moved the hat to the office. When the policeman wanted to wear his hat he looked in the cell."
114,4,FB-IC,"The policeman took off his hat and left it in the cell.  While the policeman was out for coffee, his co-worker moved the hat to the office. When the policeman wanted to wear his hat he looked in the office."
115,1,TB-C,"The singer warmed up her voice then put the microphone on the speaker.  Later, the singer spotted her manager move the microphone to the stool. When the singer wanted to use the microphone she looked on the stool."
115,2,TB-IC,"The singer warmed up her voice then put the microphone on the speaker.  Later, the singer spotted her manager move the microphone to the stool. When the singer wanted to use the microphone she looked on the speaker."
115,3,FB-C,"The singer warmed up her voice then put the microphone on the speaker.  While the singer was away resting, her manager moved the microphone to the stool. When the singer wanted to use the microphone she looked on the speaker."
115,4,FB-IC,"The singer warmed up her voice then put the microphone on the speaker.  While the singer was away resting, her manager moved the microphone to the stool. When the singer wanted to use the microphone she looked on the stool."
116,1,TB-C,"Marcus read his magazine and put it under the pillow.  Later, Marcus saw Linda move the magazine to the chair. When Marcus wanted to look at the magazine he looked under the chair."
116,2,TB-IC,"Marcus read his magazine and put it under the pillow.  Later, Marcus saw Linda move the magazine to the chair. When Marcus wanted to look at the magazine he looked under the pillow."
116,3,FB-C,"Marcus read his magazine and put it under the pillow.  While Marcus was out the house, Linda moved the magazine to the chair. When Marcus wanted to look at the magazine he looked under the pillow."
116,4,FB-IC,"Marcus read his magazine and put it under the pillow.  While Marcus was out the house, Linda moved the magazine to the chair. When Marcus wanted to look at the magazine he looked under the chair."
117,1,TB-C,"The publicist read the book and put it onto the filing cabinet.  Later, the publicist observed Judy move the book to the shelf. When the publicist wanted to edit the book she looked on the shelf."
117,2,TB-IC,"The publicist read the book and put it onto the filing cabinet.  Later, the publicist observed Judy move the book to the shelf. When the publicist wanted to edit the book she looked on the cabinet."
117,3,FB-C,"The publicist read the book and put it onto the filing cabinet.  While the publicist was distracted, Judy moved the book to the shelf. When the publicist wanted to edit the book she looked on the cabinet."
117,4,FB-IC,"The publicist read the book and put it onto the filing cabinet.  While the publicist was distracted, Judy moved the book to the shelf. When the publicist wanted to edit the book she looked on the shelf."
118,1,TB-C,"Gina switched off the TV and put the remote control on the floor.  Later, Gina spied David move the remote control to the couch. When Gina wanted to use the remote control she looked on the couch."
118,2,TB-IC,"Gina switched off the TV and put the remote control on the floor.  Later, Gina spied David move the remote control to the couch. When Gina wanted to use the remote control she looked on the floor."
118,3,FB-C,"Gina switched off the TV and put the remote control on the floor.  While Gina was unaware, David moved the remote control to the couch. When Gina wanted to use the remote control she looked on the floor."
118,4,FB-IC,"Gina switched off the TV and put the remote control on the floor.  While Gina was unaware, David moved the remote control to the couch. When Gina wanted to use the remote control she looked on the couch."
119,1,TB-C,"Nick bought some chocolate and put it in the cupboard.  Later, Nick noticed Emily move the chocolate to the fridge. When Nick wanted to eat some chocolate he looked in the fridge."
119,2,TB-IC,"Nick bought some chocolate and put it in the cupboard.  Later, Nick noticed Emily move the chocolate to the fridge. When Nick wanted to eat some chocolate he looked in the cupboard."
119,3,FB-C,"Nick bought some chocolate and put it in the cupboard.  While Nick was out for a run, Emily moved the chocolate to the fridge. When Nick wanted to eat some chocolate he looked in the cupboard."
119,4,FB-IC,"Nick bought some chocolate and put it in the cupboard.  While Nick was out for a run, Emily moved the chocolate to the fridge. When Nick wanted to eat some chocolate he looked in the fridge."
120,1,TB-C,"Tom read the letter and put it on the mantelpiece.  Later, Tom witnessed Morag move the letter to the bookshelf. When Tom wanted to re-read the letter he looked on the bookshelf."
120,2,TB-IC,"Tom read the letter and put it on the mantelpiece.  Later, Tom witnessed Morag move the letter to the bookshelf. When Tom wanted to re-read the letter he looked on the mantelpiece."
120,3,FB-C,"Tom read the letter and put it on the mantelpiece.  While Tom was not looking, Morag moved the letter to the bookshelf. When Tom wanted to re-read the letter he looked on the mantelpiece."
120,4,FB-IC,"Tom read the letter and put it on the mantelpiece.  While Tom was not looking, Morag moved the letter to the bookshelf. When Tom wanted to re-read the letter he looked on the bookshelf."
